id_depto_indec_residencia;departamento_residencia;id_prov_indec_residencia;provincia_residencia;anio_min;evento;id_grupo_etario;grupo_etario;sepi_min;cantidad
005;COMUNA 5;02;CABA;2023;Dengue;6;De 10 a 14 años;1;1
140;San Fernando;22;Chaco;2023;Dengue;8;De 20 a 24 años;1;1
028;Capital;54;Misiones;2023;Dengue;11;De 45 a 65 años;1;1
140;San Fernando;22;Chaco;2023;Dengue;5;De 5 a 9 años;1;2
009;COMUNA 9;02;CABA;2023;Dengue;11;De 45 a 65 años;1;1
140;San Fernando;22;Chaco;2023;Dengue;10;De 35 a 44 años;1;2
515;Malvinas Argentinas;06;Buenos Aires;2023;Dengue;12;Mayores de 65 años;1;1
004;COMUNA 4;02;CABA;2023;Dengue;5;De 5 a 9 años;1;1
005;COMUNA 5;02;CABA;2023;Dengue;11;De 45 a 65 años;1;1
077;Libertad;22;Chaco;2023;Dengue;10;De 35 a 44 años;1;1
140;San Fernando;22;Chaco;2023;Dengue;9;De 25 a 34 años;1;6
098;Río Cuarto;14;Córdoba;2023;Dengue;11;De 45 a 65 años;1;1
028;Avellaneda;86;Santiago del Estero;2023;Dengue;9;De 25 a 34 años;1;1
140;San Fernando;22;Chaco;2023;Dengue;11;De 45 a 65 años;1;3
028;Guaymallén;50;Mendoza;2023;Dengue;10;De 35 a 44 años;1;1
028;Capital;54;Misiones;2023;Dengue;9;De 25 a 34 años;1;1
013;COMUNA 13;02;CABA;2023;Dengue;9;De 25 a 34 años;1;1
412;José C. Paz;06;Buenos Aires;2023;Dengue;8;De 20 a 24 años;1;1
021;Comandante Fernández;22;Chaco;2023;Dengue;2;Posneonato (29 hasta 365 días);1;1
999;desconocido;99;desconocida;2023;Dengue;11;De 45 a 65 años;1;1
014;Capital;14;Córdoba;2023;Dengue;10;De 35 a 44 años;1;1
140;San Fernando;22;Chaco;2023;Dengue;6;De 10 a 14 años;1;1
001;COMUNA 1;02;CABA;2023;Dengue;12;Mayores de 65 años;2;1
014;Capital;14;Córdoba;2023;Dengue;10;De 35 a 44 años;2;1
084;Libertador General San Martín;22;Chaco;2023;Dengue;10;De 35 a 44 años;2;1
028;Chacabuco;22;Chaco;2023;Dengue;11;De 45 a 65 años;2;1
084;Libertador General San Martín;22;Chaco;2023;Dengue;8;De 20 a 24 años;2;1
098;Río Cuarto;14;Córdoba;2023;Dengue;10;De 35 a 44 años;2;1
539;Merlo;06;Buenos Aires;2023;Dengue;7;De 15 a 19 años;2;1
056;Grl. José de San Martín;66;Salta;2023;Dengue;9;De 25 a 34 años;2;1
013;COMUNA 13;02;CABA;2023;Dengue;10;De 35 a 44 años;2;1
001;COMUNA 1;02;CABA;2023;Dengue;5;De 5 a 9 años;2;1
084;Rosario;82;Santa Fe;2023;Dengue;11;De 45 a 65 años;2;1
084;Libertador General San Martín;22;Chaco;2023;Dengue;5;De 5 a 9 años;2;1
140;San Fernando;22;Chaco;2023;Dengue;11;De 45 a 65 años;2;1
140;San Fernando;22;Chaco;2023;Dengue;4;De 2 a 4 años;2;1
021;Laishi;34;Formosa;2023;Dengue;10;De 35 a 44 años;2;1
070;Goya;18;Corrientes;2023;Dengue;5;De 5 a 9 años;2;1
