id_depto_indec_residencia;departamento_residencia;id_prov_indec_residencia;provincia_residencia;anio_min;evento;id_grupo_etario;grupo_etario;sepi_min;cantidad
999;desconocido;99;desconocida;2025;Dengue;2;Posneonato (29 hasta 365 días);10;1
999;desconocido;99;desconocida;2025;Dengue;2;Posneonato (29 hasta 365 días);12;1
999;desconocido;99;desconocida;2025;Dengue;2;Posneonato (29 hasta 365 días);16;2
999;desconocido;99;desconocida;2025;Dengue;2;Posneonato (29 hasta 365 días);18;1
999;desconocido;99;desconocida;2025;Dengue;2;Posneonato (29 hasta 365 días);20;1
999;desconocido;99;desconocida;2025;Dengue;2;Posneonato (29 hasta 365 días);21;3
999;desconocido;99;desconocida;2025;Dengue;2;Posneonato (29 hasta 365 días);22;3
999;desconocido;99;desconocida;2025;Dengue;3;De 13 a 24 meses;18;1
999;desconocido;99;desconocida;2025;Dengue;3;De 13 a 24 meses;19;1
999;desconocido;99;desconocida;2025;Dengue;3;De 13 a 24 meses;20;1
999;desconocido;99;desconocida;2025;Dengue;3;De 13 a 24 meses;21;2
999;desconocido;99;desconocida;2025;Dengue;3;De 13 a 24 meses;22;4
999;desconocido;99;desconocida;2025;Dengue;4;De 2 a 4 años;9;1
999;desconocido;99;desconocida;2025;Dengue;4;De 2 a 4 años;11;1
999;desconocido;99;desconocida;2025;Dengue;4;De 2 a 4 años;13;1
999;desconocido;99;desconocida;2025;Dengue;4;De 2 a 4 años;14;1
999;desconocido;99;desconocida;2025;Dengue;4;De 2 a 4 años;16;1
999;desconocido;99;desconocida;2025;Dengue;4;De 2 a 4 años;17;1
999;desconocido;99;desconocida;2025;Dengue;4;De 2 a 4 años;18;1
999;desconocido;99;desconocida;2025;Dengue;5;De 5 a 9 años;6;1
999;desconocido;99;desconocida;2025;Dengue;5;De 5 a 9 años;8;2
999;desconocido;99;desconocida;2025;Dengue;5;De 5 a 9 años;9;4
999;desconocido;99;desconocida;2025;Dengue;5;De 5 a 9 años;10;4
999;desconocido;99;desconocida;2025;Dengue;5;De 5 a 9 años;11;11
999;desconocido;99;desconocida;2025;Dengue;5;De 5 a 9 años;12;8
999;desconocido;99;desconocida;2025;Dengue;5;De 5 a 9 años;13;5
999;desconocido;99;desconocida;2025;Dengue;5;De 5 a 9 años;14;5
999;desconocido;99;desconocida;2025;Dengue;5;De 5 a 9 años;15;3
999;desconocido;99;desconocida;2025;Dengue;5;De 5 a 9 años;16;1
999;desconocido;99;desconocida;2025;Dengue;5;De 5 a 9 años;17;1
999;desconocido;99;desconocida;2025;Dengue;5;De 5 a 9 años;18;2
999;desconocido;99;desconocida;2025;Dengue;6;De 10 a 14 años;1;1
999;desconocido;99;desconocida;2025;Dengue;6;De 10 a 14 años;2;1
999;desconocido;99;desconocida;2025;Dengue;6;De 10 a 14 años;6;1
999;desconocido;99;desconocida;2025;Dengue;6;De 10 a 14 años;7;2
999;desconocido;99;desconocida;2025;Dengue;6;De 10 a 14 años;8;5
999;desconocido;99;desconocida;2025;Dengue;6;De 10 a 14 años;9;9
999;desconocido;99;desconocida;2025;Dengue;6;De 10 a 14 años;10;7
999;desconocido;99;desconocida;2025;Dengue;6;De 10 a 14 años;11;15
999;desconocido;99;desconocida;2025;Dengue;6;De 10 a 14 años;12;12
999;desconocido;99;desconocida;2025;Dengue;6;De 10 a 14 años;13;14
999;desconocido;99;desconocida;2025;Dengue;6;De 10 a 14 años;14;7
